tweet	polarity
que coisa linda O programa estava mostrando uma familia que adotou um adolescente de NUMBER anos que amor !	1
por mais com as irmãs galvão adorei elas	1
mr CATRA USERNAME lançando sua nova música PPK CHORA no USERNAME k k k 👅 😉 #MrCatra #PpkChora	1
cibele arrasou humilhou !	1
A cearamirinense mais famosa do brasil no #Edecasa USERNAME ♥ linda	1
nào sei vocês mas quero USERNAME no #powercoupleBrasil com a USERNAME e num reality tipo dr rey até no tá bom	1
tem q passar essa entrevista em telões nas praças	1
estou todo derretido com o amor do serginho e thomas no	1
augusto cury no IMPERDÍVEL !	1
sophia super sensual com essa roupa ! ! ! !	1
caraaa não dormi ainda por causa desse cara padre fábio de melo ❤ ️ quanta sabedoria ! #conversacombial	1
A MIRIAM E O FOGO DO PROGRAMA ELA E PROTAGONISTA	1
depois eu vou assistir espero que ela cante a nova música #Encontro #SandyNoEncontro	1
ai mds é agora	1
fico assistindo dá muuuita vontade de comer rs	1
começaaa a hora de procurar algo na geladeira pra comer e acompanhar este show na TV ! ! 😆	1
vivendo e aprendendo enfrentar os medos e procurar ajuda é sempre a melhor maneira #ConversaComBial	1
#CharlieHunnam no foi épico kkkk #talkshow	1
drauzio varella mostrando como funciona a verdadeira dinâmica na cadeia no brasil é bom que todos assistam #ConversaComBial	1
VANESSA DA MATA MELHOR PESSOA #AltasHoras	1
irmãs galvão amores de pessoas #Encontro #IrmãsGalvao	1
esse programa é demais com esses dois ao vivo vocês podiam mostrar os bastidores DO VIDEO SHOW NÉ #CURIOSO KKK	1
adoro a voz do pr fabio de melo 😍	1
USERNAME começou junto com o jogo da liberta e gsw x spurs que terça	1
eles roubam a cena na novela muito bom #MaisVoce	1
déborah a bixa é lacradora mesmo #MasterChefBR	1
É o tipo de assunto sério que a nossa mídia esquerdista tem medo de falar ou fala besteira parabéns	1
hoje tem 🍝 🍜 🍛 🥗 🍲 😰 😨 😀	1
USERNAME eu espero pelas terças-feiras só por causa do sim 😊	1
eu também prefeito gente mais velha kkk	1
excelente a participação do USERNAME ! USERNAME muito bom falar sobre o assunto armas de fogo #CidadãoArmadoJá	1
A direção do video show é a melhor cara	1
A maior e melhor cantora que você respeita USERNAME no USERNAME #SandyLeah #SandynoEncontro	1
com esse rei arthur brincaria de princesa NUMBER 4hrs sem reclamar meuuu deus	1
laís é uma sapona e parece ser super fofa	1
vem que já começou o #VídeoShowAoVivo !	1
gente suspirando com esse joão vicente 😍 😍	1
vem que vem USERNAME tô aqui esperando ver vcs no mesmo sendo gravado	1
- meu marido tinha NUMBER anos e eu NUMBER quando nos casamos estamos juntos até hoje e somos muito felizes	1
TÔ MORTO COM A BELA GIL NO CLIPE DO E O TCHAN HAHAHAHAHA	1
É impressionante como eu sempre aprendo algo novo quando assisto uma entrevista do drauzio varella que homem #ConversaComBial	1
gente esse cibele é linda . E que ensaio em linda ! parabéns 👏	1
todos deviam ver esse vídeo do nabby clifford #Encontro	1
catra cantando rock quer momento mais icônico que esse	1
esse carinha é engraçado	1
bela gil no clipe dança do ventre do É o tchan conseguiu realizar o sonho de todas crianças soteropolitanas dos anos NUMBER	1
meu rei arthur favorito é o clive owen acho q cabe mais um aqui 😬 😂 #CharlieHunnam	1
queria um joaquim lopes pra mim #VideoShowAoVivo	1
nem só de baboseira vive o brasileiro 😁 🤣	1
catra da uma aula de política e depois fala que a nova música dele é ppk chora kkk mitooo	1
risada garantida com essa dupla pro dia ficar bom 😁 adooorooo	1
gosto de sardinha	1
ana maria que bulsa maravilhosa quero uma !	1
