verb;polarity
espetacular;1
abandonar;-1
aborrecer;-1
assustar;-1
maravilhar;1
atormentar;-1
atrapalhar;-1
cansar;-1
complicar;-1
chorar;-1
decepcionar;-1
deprimir;-1
desanimar;-1
indiferença;-1
acabar;-1
desgastar;-1
descontar;-1
desistir;-1
detestar;-1
dificultar;-1
decorar;-1
lamentar;-1
empacar;-1
enfraquecer;-1
enganar;-1
errar;-1
estragar;-1
estressar;-1
exagerar;-1
mentir;-1
faltar;-1
atuando;-1
cagar;-1
frustrar;-1
incomodar;-1
irritar;-1
largar;-1
limitar;-1
odiar;-1
prolongar;-1
revoltar;-1
adorar;1
agradar;1
amadurecer;1
amar;1
animar;1
apaixonar;1
apreciar;1
acreditar;1
atrair;1
cativar;1
conquistar;1
curtir;1
destacar-se;1
divertir;1
emocionar;1
melhorar;1
emplacar;1
empolgar;1
encantar;1
entreter;1
facilitar;1
fascinar;1
fluir;1
gostar;1
impressionar;1
inovar;1
recomendar;1
lindar;1
ganhar;1
sensibilizar;1
matar;-1
cair;-1
reinar;1
simpatizar;1
valorizar;1
viciar;1
descontar;-1
arrasar;1
rir;1
demorar;-1
engraçar;1
desesperar;-1
merecer;1
deliciar;1
acertar;1
aguentar;-1
acusar;-1
tirar;-1
misturar;-1
crer;1
preocupar;-1
pecar;-1
forçar;-1
enrolar;-1
piorar;-1
preguiçar;-1
oxigenar;-1
roubar;-1
tombar;-1
sofrer;-1
mentira;-1
birrar;-1
cancelar;-1
enjoar;-1
destacar;1
encher;-1
falhar;-1
derrotar;-1
maldizer;-1
venerar;1
doer;-1
agoniar;-1
eliminar;-1
folgar;1
lascar;-1
criticar;-1
tendência;1
criatura;-1
torcer;1
aberração;-1
apertar;-1
admirar;1
atrasar;-1
beijar;1
jogar;1
babar;-1
fofura;1
sumir;-1
perder;-1
ferrar;-1
desacreditar;-1
envelhecer;-1
tremer;-1
venerar;1
